//ASSIGNED GATT MANUFACTURERS
"FEFF","GN Netcom"
"2BB4","Bearer UCI"
"2BB5","Bearer Technology"
"2BB6","Bearer URI Schemes Supported List"
"2BB7","Bearer Signal Strength"
"2BB8","Bearer Signal Strength Reporting Interval"
"2BB9","Bearer List Current Calls"
"2BBA","Content Control ID"
"2BBB","Status Flags"
"2BBC","Incoming Call Target Bearer URI"
"2BBD","Call State"
"2BBE","Call Control Point"
"2BBF","Call Control Point Optional Opcodes"
"2BC0","Termination Reason"
"2BC1","Incoming Call"
"2BC2","Call Friendly Name"
"2BC3","Mute"

//GENERIC GATT DECLARATIONS
"2800","Primary Service"
"2801","Secondary Service"
"2802","Include"
"2803","Characteristic"

//GENERIC GATT DESCRIPTORS
"2900","Characteristic Extended Properties"
"2901","Characteristic User Description"
"2902","Client Characteristic Configuration"
"2903","Server Characteristic Configuration"
"2904","Characteristic Presentation Format"
"2905","Characteristic Aggregate Format"
"2906","Valid Range"
"2907","External Report Reference"
"2908","Report Reference"
"2909","Number of Digitals"
"290A","Value Trigger Setting"
"290B","Environmental Sensing Configuration"
"290C","Environmental Sensing Measurement"
"290D","Environmental Sensing Trigger Setting"
"290E","Time Trigger Setting"
"290F","Complete BR-EDR Transport Block Data"

//GENERIC GATT SERVICES
"1800","Generic Access"
"1801","Generic Attribute"
"1802","Immediate Alert"
"1803","Link Loss"
"1804","Tx Power"
"1805","Current Time"
"1806","Reference Time Update"
"1807","Next DST Change"
"1808","Glucose"
"1809","Health Thermometer"
"180A","Device Information"
"180D","Heart Rate"
"180E","Phone Alert Status"
"180F","Battery"
"1810","Blood Pressure"
"1811","Alert Notification"
"1812","Human Interface Device"
"1813","Scan Parameters"
"1814","Running Speed and Cadence"
"1815","Automation IO"
"1816","Cycling Speed and Cadence"
"1818","Cycling Power"
"1819","Location and Navigation"
"181A","Environmental Sensing"
"181B","Body Composition"
"181C","User Data"
"181D","Weight Scale"
"181E","Bond Management"
"181F","Continuous Glucose Monitoring"
"1820","Internet Protocol Support"
"1821","Indoor Positioning"
"1822","Pulse Oximeter"
"1823","HTTP Proxy"
"1824","Transport Discovery"
"1825","Object Transfer"
"1826","Fitness Machine"
"1827","Mesh Provisioning"
"1828","Mesh Proxy"
"1829","Reconnection Configuration"
"183A","Insulin Delivery"
"183B","Binary Sensor"
"183C","Emergency Configuration"
"183E","Physical Activity Monitor"
"1843","Audio Input Control"
"1844","Volume Control"
"1845","Volume Offset Control"
"1846","Coordinated Set Identification Service"
"1847","Device Time"
"1848","Media Control Service"
"1849","Generic Media Control Service"
"184A","Constant Tone Extension"
"184B","Telephone Bearer Service"
"184C","Generic Telephone Bearer Service"
"184D","Microphone Control"
